;tested_domain_name;ip
0;anonymous-stresser.net;104.31.6.187
1;anonymous-stresser.net;104.31.7.187
2;anonymous-stresser.net;127.0.0.1
3;anonymous-stresser.net;104.31.6.187
4;anonymous-stresser.net;108.162.192.165
5;anonymous-stresser.net;108.162.192.70
6;anonymous-stresser.net;108.162.192.8
7;anonymous-stresser.net;108.162.192.80
8;anonymous-stresser.net;108.162.194.38
9;anonymous-stresser.net;108.162.194.41
10;anonymous-stresser.net;108.162.194.5
11;anonymous-stresser.net;141.101.116.138
12;anonymous-stresser.net;141.101.118.176
13;anonymous-stresser.net;149.126.72.117
14;anonymous-stresser.net;173.245.60.109
15;anonymous-stresser.net;173.245.60.63
16;anonymous-stresser.net;199.27.134.13
17;anonymous-stresser.net;199.27.134.4
18;anonymous-stresser.net;199.27.134.51
19;anonymous-stresser.net;199.83.128.111
20;anonymous-stresser.net;199.83.129.181
21;anonymous-stresser.net;199.83.132.153
22;anonymous-stresser.net;8.2.120.116
23;anonymous-stresser.net;8.2.120.122
24;anonymous-stresser.net;104.31.6.187
25;anonymous-stresser.net;104.31.7.187
26;anonymous-stresser.net;172.217.1.78
27;anonymous-stresser.net;173.245.58.119
28;anonymous-stresser.net;173.245.59.100
29;anonymous-stresser.net;176.123.8.84
30;anonymous-stresser.net;176.123.8.85
31;anonymous-stresser.net;104.237.149.169
32;anonymous-stresser.net;162.158.62.124
33;apocalypsestresser.webs.com;104.16.88.120
34;apocalypsestresser.webs.com;104.16.89.120
35;apocalypsestresser.webs.com;104.16.90.120
36;apocalypsestresser.webs.com;104.16.91.120
37;apocalypsestresser.webs.com;195.12.226.194
38;apocalypsestresser.webs.com;195.12.231.33
39;apocalypsestresser.webs.com;195.59.54.225
40;apocalypsestresser.webs.com;2.22.236.24
41;apocalypsestresser.webs.com;23.200.86.215
42;apocalypsestresser.webs.com;23.212.108.103
43;apocalypsestresser.webs.com;23.212.109.41
44;apocalypsestresser.webs.com;23.215.60.82
45;apocalypsestresser.webs.com;52.85.77.29
46;apocalypsestresser.webs.com;72.246.43.11
47;apocalypsestresser.webs.com;75.98.17.19
48;apocalypsestresser.webs.com;80.150.2.160
49;apocalypsestresser.webs.com;80.231.241.56
50;apocalypsestresser.webs.com;80.239.171.24
51;apocalypsestresser.webs.com;81.52.160.56
52;apocalypsestresser.webs.com;81.52.201.32
53;apocalypsestresser.webs.com;88.221.134.19
54;apocalypsestresser.webs.com;88.221.134.194
55;apocalypsestresser.webs.com;88.221.134.209
56;apocalypsestresser.webs.com;90.84.136.143
57;apocalypsestresser.webs.com;90.84.55.48
58;apocalypsestresser.webs.com;90.84.59.114
59;apocalypsestresser.webs.com;90.84.59.89
60;apocalypsestresser.webs.com;90.84.60.34
61;apocalypsestresser.webs.com;104.16.87.120
62;apocalypsestresser.webs.com;104.16.88.120
63;apocalypsestresser.webs.com;104.16.89.120
64;apocalypsestresser.webs.com;104.16.90.120
65;apocalypsestresser.webs.com;104.16.91.120
66;aurastresser.com;104.31.8.172
67;aurastresser.com;104.31.9.172
68;aurastresser.com;108.162.192.89
69;aurastresser.com;141.101.118.154
70;aurastresser.com;149.126.72.141
71;aurastresser.com;173.245.60.90
72;aurastresser.com;176.74.176.184
73;aurastresser.com;192.99.167.59
74;aurastresser.com;199.27.134.103
75;aurastresser.com;199.83.128.74
76;aurastresser.com;104.31.8.172
77;aurastresser.com;104.31.9.172
78;aurastresser.com;173.245.58.130
79;aurastresser.com;173.245.59.128
80;beststresser.com;104.27.146.95
81;beststresser.com;104.27.147.95
82;beststresser.com;104.27.146.95
83;beststresser.com;104.27.147.95
84;beststresser.com;173.245.58.90
85;beststresser.com;173.245.59.168
86;bezobooter.webs.com;104.16.87.120
87;bezobooter.webs.com;104.16.88.120
88;bezobooter.webs.com;104.16.89.120
89;bezobooter.webs.com;104.16.91.120
90;bezobooter.webs.com;195.12.226.194
91;bezobooter.webs.com;195.12.231.33
92;bezobooter.webs.com;195.59.54.225
93;bezobooter.webs.com;2.22.236.24
94;bezobooter.webs.com;23.200.86.215
95;bezobooter.webs.com;23.212.108.103
96;bezobooter.webs.com;23.212.109.41
97;bezobooter.webs.com;23.215.60.82
98;bezobooter.webs.com;52.85.77.29
99;bezobooter.webs.com;72.246.43.11
100;bezobooter.webs.com;75.98.17.19
101;bezobooter.webs.com;80.150.2.160
102;bezobooter.webs.com;80.231.241.56
103;bezobooter.webs.com;80.239.171.24
104;bezobooter.webs.com;81.52.160.56
105;bezobooter.webs.com;81.52.201.32
106;bezobooter.webs.com;88.221.134.19
107;bezobooter.webs.com;88.221.134.194
108;bezobooter.webs.com;88.221.134.209
109;bezobooter.webs.com;90.84.136.143
110;bezobooter.webs.com;90.84.55.48
111;bezobooter.webs.com;90.84.59.114
112;bezobooter.webs.com;90.84.59.89
113;bezobooter.webs.com;90.84.60.34
114;bezobooter.webs.com;104.16.87.120
115;bezobooter.webs.com;104.16.88.120
116;bezobooter.webs.com;104.16.89.120
117;bezobooter.webs.com;104.16.90.120
118;bezobooter.webs.com;104.16.91.120
119;boot4free.com;104.27.182.246
120;boot4free.com;104.27.183.246
121;boot4free.com;104.27.182.246
122;boot4free.com;104.27.183.246
123;boot4free.com;173.245.58.138
124;boot4free.com;173.245.59.105
125;booter.eu;104.27.175.198
126;booter.eu;159.253.0.110
127;booter.eu;159.253.0.251
128;booter.eu;159.253.0.64
129;booter.eu;185.149.24.100
130;booter.eu;185.53.162.18
131;booter.eu;37.59.26.94
132;booter.eu;46.21.172.143
133;booter.eu;5.135.114.108
134;booter.eu;104.27.174.198
135;booter.eu;104.27.175.198
136;booter.eu;173.245.58.105
137;booter.eu;173.245.59.224
138;booter.ninja;104.24.96.147
139;booter.ninja;104.24.97.147
140;booter.ninja;104.24.96.147
141;booter.ninja;104.24.97.147
142;booter.ninja;173.245.58.86
143;booter.ninja;173.245.59.226
144;booter.xyz;104.25.81.114
145;booter.xyz;104.25.82.25
146;booter.xyz;104.28.26.6
147;booter.xyz;104.31.182.7
148;booter.xyz;108.162.192.129
149;booter.xyz;108.162.207.246
150;booter.xyz;198.41.130.95
151;booter.xyz;104.25.224.34
152;booter.xyz;104.25.225.34
153;booter.xyz;165.254.168.50
154;booter.xyz;173.245.58.192
155;booter.xyz;173.245.59.118
156;booter.xyz;74.201.154.201
157;booter.xyz;37.59.90.60
158;booter.xyz;51.254.119.204
159;bullstresser.com;104.27.164.82
160;bullstresser.com;104.27.165.82
161;bullstresser.com;104.27.164.82
162;bullstresser.com;104.27.165.82
163;bullstresser.com;173.245.58.211
164;bullstresser.com;173.245.59.74
165;cnstresser.com;104.31.68.33
166;cnstresser.com;104.31.69.33
167;cnstresser.com;104.31.68.33
168;cnstresser.com;108.162.192.82
169;cnstresser.com;104.31.68.33
170;cnstresser.com;104.31.69.33
171;cnstresser.com;173.245.58.155
172;cnstresser.com;173.245.59.219
173;connectionstresser.com;104.28.3.118
174;connectionstresser.com;127.69.91.210
175;connectionstresser.com;104.28.2.118
176;connectionstresser.com;104.28.3.118
177;connectionstresser.com;173.245.58.140
178;connectionstresser.com;173.245.59.128
179;crazyamp.me;104.27.144.44
180;crazyamp.me;104.27.145.44
181;crazyamp.me;104.28.2.78
182;crazyamp.me;104.28.20.66
183;crazyamp.me;108.162.194.148
184;crazyamp.me;108.162.203.152
185;crazyamp.me;173.245.60.65
186;crazyamp.me;190.93.248.33
187;crazyamp.me;190.93.248.56
188;crazyamp.me;190.93.252.130
189;crazyamp.me;190.93.254.26
190;crazyamp.me;198.41.184.83
191;crazyamp.me;82.196.16.29
192;crazyamp.me;104.27.144.44
193;crazyamp.me;104.27.145.44
194;crazyamp.me;173.245.58.217
195;crazyamp.me;173.245.59.156
196;critical-boot.com;104.24.100.82
197;critical-boot.com;104.24.101.82
198;critical-boot.com;104.24.100.82
199;critical-boot.com;217.146.91.36
200;critical-boot.com;46.166.188.69
201;critical-boot.com;104.24.100.82
202;critical-boot.com;104.24.101.82
203;critical-boot.com;173.245.58.233
204;critical-boot.com;173.245.59.186
205;cyberstresser.org;104.28.26.164
206;cyberstresser.org;104.28.27.164
207;cyberstresser.org;104.25.72.31
208;cyberstresser.org;185.61.137.60
209;cyberstresser.org;104.28.26.164
210;cyberstresser.org;104.28.27.164
211;cyberstresser.org;173.245.58.81
212;cyberstresser.org;173.245.59.209
213;cyberstresser.org;185.62.188.4
214;databooter.com;104.27.146.195
215;databooter.com;104.18.52.45
216;databooter.com;104.27.146.195
217;databooter.com;104.27.147.195
218;databooter.com;173.245.58.131
219;databooter.com;173.245.59.181
220;ddosbreak.com;104.28.12.57
221;ddosbreak.com;104.28.13.57
222;ddosbreak.com;127.0.0.1
223;ddosbreak.com;173.245.58.123
224;ddosbreak.com;173.245.59.119
225;ddosbreak.com;104.28.12.94
226;ddosbreak.com;108.162.198.191
227;ddosbreak.com;108.162.200.205
228;ddosbreak.com;108.162.207.87
229;ddosbreak.com;162.159.245.161
230;ddosbreak.com;104.28.12.57
231;ddosbreak.com;104.28.13.57
232;ddosbreak.com;173.245.58.123
233;ddosbreak.com;173.245.59.119
234;ddosbreak.com;209.200.154.3
235;ddos.city;104.27.150.182
236;ddos.city;104.27.151.182
237;ddos.city;104.28.16.125
238;ddos.city;104.27.150.182
239;ddos.city;104.27.151.182
240;ddos.city;173.245.58.248
241;ddos.city;173.245.59.128
242;ddos.city;185.62.190.25
243;ddoscover.com;104.24.110.249
244;ddoscover.com;104.24.111.249
245;ddoscover.com;104.28.10.22
246;ddoscover.com;104.28.16.182
247;ddoscover.com;104.28.18.76
248;ddoscover.com;104.31.70.246
249;ddoscover.com;108.162.207.214
250;ddoscover.com;141.101.116.113
251;ddoscover.com;141.101.118.136
252;ddoscover.com;162.212.253.166
253;ddoscover.com;162.218.48.170
254;ddoscover.com;98.124.253.216
255;ddoscover.com;104.24.110.249
256;ddoscover.com;104.24.111.249
257;ddoscover.com;173.245.58.199
258;ddoscover.com;173.245.59.147
259;ddos-him.com;104.28.24.6
